Title,Slug,"Post Date","Expiry Date",Enabled,Status,"Block background color","Block text color",Body,Image,"Meta Keywords","Meta Description"
"Best Prezi 2015! ",prezi-awards-2015,2015-12-08,,Yes,live,#62a4be,#ffffff,"<p>The day we’ve all been waiting for has finally arrived - the winners of the Prezi Awards have been revealed!<br>
</p><p>We are proud to announce that we've been awarded the Prezi Award for Best Educational Prezi 2015 with our ‘The Amazing Human Body’ presentation. We always try to push ourselves creatively and this award is recognition of our work as the Prezi Design Agency.
</p><p>What Prezi says:
</p><p><i><a href=""http://blog.prezi.com/latest/2015/12/7/presenting-the-6-best-prezis-of-2015"" target=""_blank"">This prezi</a> brings facts and figures to life by translating them into visuals that are far more memorable than the raw numbers. By zooming in on the different parts of the body, this prezi helps us understand all of the information in context. The nifty 3D background also adds visual interest that keeps viewers engaged—learn how to use 3D backgrounds in your own presentations. </i>
</p><p><b>The Amazing Human Body</b><br>
</p><p>At Mr.Prezident we are true fact fans, so we decided to bring some impressive physical facts about the human body to life in this unique Prezi. We are all amazing and astonishing facts and figures show that. Curious? Well, <a href=""https://prezi.com/mbofecpyzdbm/the-amazing-human-body/"" target=""_blank"">let’s explore The Amazing Human Body</a>!
</p><p><br>
</p>",Best-Prezi-Awards-2015,"best prezi 2015","We are proud to announce that we've been awarded the Prezi Award for Best Educational Prezi 2015 with our ‘The Amazing Human Body’ presentation."
"Prezi Tips: 3 Shift key secrets",prezi-tips-3-shift-key-secrets,2015-07-03,,Yes,live,#76b9d2,#ffffff,"<p>Whenever you have used Prezi multiple times chances are high you have used Prezi shortcuts. But there are more shortcuts than Prezi gives away on their ‘Keyboard shortcuts’-page. In this article, we will reveal a few which all concern the Shift-key!<br>
</p><p>Let’s start of giving away the most obvious one, as it actually is mentioned on the Prezi website: Whenever you want to work pixel perfect, like a real Prezident, you will often find yourself using the arrows to place your selected content perfectly. By holding Shift, your content will move 10 pixels instead of one.
</p><p>Now you are really ready to know the 3 Prezi secrets of the Shift-key!
</p><h3>1. Making a selection</h3><p>While editing your next memorable presentation you might find yourself wanting to resize, replace, delete or duplicate multiple objects in your Prezi. There is a quicker way, than doing this one by one. Hold Shift and click and drag your mouse over the group of objects you want to select.</p><p><img src=""http://www.mrprezident.com/uploads/prezi-tips-shift-key.png""></p><h3>2. Adding and removing from your selection
</h3><p>You are now able to select a group of objects which are close to each other, but perhaps you do not need to select all of it. Just press and hold Shift and click on the objects you want to remove from your selection. And it works both ways!
</p><p>You can also add more objects to your selection, just by clicking them.</p><p><img src=""http://www.mrprezident.com/uploads/prezi-tips-shift-key2.png""></p><h3>3. Locating the group your object is in</h3><p>At Mr. Prezident we like to use Prezi to the fullest. That is the reason every now and then we find ourselves clicking an object which will not select because it is part of a much bigger group. Your now beloved Shift-key can do the trick! Just hold Shift and click the object, and Prezi will just bring you to the group. It is as easy as that!</p><p><img src=""http://www.mrprezident.com/uploads/prezi-tips-shift-key3.png""></p><hr><p>That is it for now, hopefully you will feel like a Prezident the next time you Shift your way through your next amazing Prezi!
</p><p>Respectfully yours,
</p><p>Mr. Prezident
</p>",prezi-shift-key,,
"PRESS RELEASE NY",mr-prezident-ny-office,2015-05-19,,Yes,live,#62a4be,#ffffff,"<p>Amsterdam May 19, 2015 — Mr.Prezident, a young and creative startup specializing in designing professional Prezi-presentations, crosses the Atlantic to open a New York office in SoHo. A New York based ‘Oval Office’ is the next step in strengthening the company’s service for a rapidly growing client base in the US. Mr.Prezidents NY office will be led by Celeste van der Spoel.</p><p>The Prezi Design Agency was founded in 2011, to challenge the concept of corporate presentations. And Mr.Prezident, an official Prezi Expert, has been designing creative and professional presentations for various brands and corporations ever since. In 2014, 30% of all incoming business came from within the US. Opening up a US office is the logical next step for this young successful startup.</p><p>Celeste van der Spoel will take charge of all Mr.Prezidents US activities. With her creative roots in international advertising and her experience within the US market, Celeste will be the perfect sparring partner for Mr.Prezidents North-American clients. “There’s a market to explore for Mr.Prezident and we have great things to offer. I’m sure that our ‘design thinking’ and Dutch straightforwardness will not go unnoticed”, says van der Spoel.</p><p>“The world of presentations is expanding and the United States is at the center of it. Lots of companies are looking for experts that can help tell and visualize stories. By opening up a New York office we’re making sure that we will be there to help. Working from two different time zones will only strengthen our service, as we will be able to produce in the Netherlands when it’s nighttime in the US. We’re extremely proud that we were able to take this big step forward and cross the Atlantic and we’re looking forward to expanding our business internationally”, concludes Pieter Bosschaart, a Mr.Prezident founder and the current Chief Commercial Officer.</p><p><strong>About Mr.Prezident</strong></p><p>Mr.Prezident is a Prezi Design Agency, specialized in developing and designing creative and professional corporate Prezi-presentations. Founded in 2011 by Pieter Bosschaart en Paul van Hattem, Mr.Prezident has grown into a successful young company, serving a worldwide client base and employing a team of 20. For more information, go to <a href=""http://www.mrprezident.com"">www.mrprezident.com</a>. </p><p>--------------</p><p>For more information, please contact<br>Pieter Bosschaart, Mr.Prezident.<br>Tel. 020-7158974 of 06-34386931<br>e-mail: pieter@mrprezident.com</p><p>or </p><p>Eric Dragt, En Serio<br>Tel: 020 658 9522<br>e-mail: eric@enserio.nl</p><hr><p><strong>DUTCH PRESS RELEASE</strong>
</p><p><strong>Creatief bureau Mr.Prezident uit Amsterdam breidt uit naar de Verenigde Staten Amsterdam 19 mei 2015
</strong></p><p>Amsterdam 19 mei 2015 — Mr.Prezident, een jonge, creatieve startup, gespecialiseerd in het ontwerpen van professionele Prezi-presentaties, gaat de landsgrenzen over en opent een kantoor in New York. Vanuit dit nieuwe kantoor in SOHO zal Mr.Prezident beter in staat zijn de huidige en nieuwe klanten, die in de Verenigde Staten gevestigd zijn, te bedienen. Celeste van der Spoel zal het kantoor in New York gaan leiden. </p><p>Sinds de oprichting in 2011 richt de Amsterdamse startup zich vooral op het ontwikkelen en ontwerpen van professionele en creatieve Prezi-presentaties voor bedrijven. Het bureau is sinds 2012 een officiële Prezi Expert en bedient inmiddels klanten over de hele wereld. In 2014 kwam maar liefst 30% van de opdrachten uit de Verenigde Staten. Als antwoord op de snel groeiende vraag naar professionele presentaties vanuit Amerikaanse bedrijven, opent Mr.Prezident haar deuren in New York. </p><p>Celeste van der Spoel, zal de activiteiten van Mr.Prezident op de Amerikaanse markt gaan leiden. Met haar creatieve roots in de internationale reclamewereld en ervaring in de Amerikaanse markt, zal zij vanuit het kantoor in New York als aanspreekpunt en sparringpartner fungeren voor klanten van Mr.Prezident in Noord-Amerika.' Ik zie veel potentie voor Mr.Prezident hier in de Verenigde Staten. Ons 'design denken' en de Nederlandse recht door zee mentaliteit zullen hier zeker niet ongemerkt blijven,' zegt Van der Spoel. </p><p>'Nergens wordt zoveel gepresenteerd als in de Verenigde Staten en veel bedrijven zijn dan ook op zoek naar experts die kunnen helpen bij het vertellen en visualiseren van hun verhaal. Met de opening van ons kantoor in New York willen we sneller en beter in kunnen spelen op deze behoefte. Fysieke aanwezigheid stelt ons in staat om een nog nauwere samenwerking aan te gaan met onze klanten. Het tijdsverschil tussen Amsterdam en New York zien wij als een voordeel. Als er in New York geslapen wordt, kunnen wij in Amsterdam produceren. We zijn trots op deze mooie stap en uitbreiding en kijken ernaar uit om onze business in Nederland en vooral internationaal nog verder uit te breiden,’ besluit Pieter Bosschaart, oprichter en commercieel directeur bij Mr.Prezident.</p><p><strong>Over Mr.Prezident</strong>
</p><p>Mr.Prezident is een Prezi design bureau en is gespecialiseerd is in het ontwikkelen en ontwerpen van Prezi bedrijfspresentaties. Het bureau is in 2011 opgericht door Pieter Bosschaart en Paul van Hattem en is uitgegroeid tot een succesvol bedrijf met 20 medewerkers. Meer informatie is te vinden op <a href=""http://www.mrprezident.com"">www.mrprezident.com</a>.
</p><p>---------------------------<br>Voor meer informatie, neem contact opnemen met <br>Pieter Bosschaart, Mr.Prezident. <br>Tel. 020-7158974 of 06-34386931 <br>e-mail: pieter@mrprezident.com <br><br>of </p><p>Eric Dragt, En Serio <br>Tel: 020 658 9522 <br>e-mail: eric@enserio.nl<br>
</p>",newyorkcity-mrprezident,,"Mr.Prezident, a young and creative startup specializing in designing professional Prezi presentations, crosses the Atlantic to open a New York office in SoHo."
"Mobile presenting",prezi-mobile-presenting,2015-01-27,,Yes,live,#76b9d3,#ffffff,"<p>
	As you might know we're not only in the business of creating presentations, we're also 
	<a href=""http://www.prezitraining.nl/prezi-trainers/"" title=""Prezi Certified Trainers"" target=""_blank"">Prezi Certified Trainers</a>. Our training courses are mostly Prezi-related, but consist of modules such as creative idea development and public speaking too.
</p><p>
	One of our trainers, 
	<a href=""http://www.linkedin.com/in/mennorosmalen/nl"" title=""Menno van Rosmalen"" target=""_blank"">Menno van Rosmalen</a>, knows everything there is to know about Prezi and is an avid writer when it comes to presentation related topics. As of yesterday he has started writing for one of Netherlands' biggest blogs, <a href=""http://www.dutchcowboys.nl/"" title=""Dutch Cowboys"" target=""_blank"">Dutch Cowboys</a>. In his first article he discusses Mobile Presenting; a recently added feature of Prezi and currently a hot topic in the field of presenting.
</p><p>
	""
	<em>Now, no matter where you are, you'll be able to present—and your audience will be able to follow along on their own device… We believe that mobile presenting is the future</em>"" – <a href=""http://blog.prezi.com/latest/introducing-mobile-presenting"" title=""Introducing Mobile Presenting"" target=""_blank"">Prezi</a>
</p><p>
	Want to know more about Mobile Presenting?
</p><p>
	Read the full article here: 
	<a href=""http://www.dutchcowboys.nl/mobile/prezi-presenteert-mobile-presenting"" title=""Prezi presenteert: Mobile Presenting"" target=""_blank"">Prezi presents: Mobile Presenting</a>
</p>","mobile presenting","mobile prezi, mobile presenting, mobile presentation, prezi iphone, prezi android, prezi smartphone, prezi training","Mobile Presenting, a recently added feature of Prezi and currently a hot topic in the field of presenting. Our certified trainers can teach you the ins and outs"
"First TV commercial",first-tv-commercial,2015-01-13,,Yes,live,#62a4be,#ffffff,"<p>
	This week one of our clients, 
	<a title=""Dibbadoo"" href=""http://www.dibbadoo.nl/"" target=""_blank"">Dibbadoo</a>, launched their first TV commercial. So what has that to do with Mr.Prezident? Well, we are responsible for the concept, design and animation of this commercial!
</p><p>
	Dibbadoo is an Amsterdam based start-up that focuses on making SMEs more successful by offering affordable online marketing solutions such as tailor-made websites that meet the latest standards. Unique websites with a modern look that work perfectly on desktops, smartphones and tablets, at an accessible monthly fee.
</p><p>
	""<em>A website is very important because it is often the first customer touch-point with a company. Many entrepreneurs have an outdated website. We're here to help them create a professional online business card.</em>"" – Stephan van Soest (Owner of Dibbadoo)
</p><p>
	As Prezi Design Agency we're not in the business of the creation of TV commercials but when Dibbadoo approached us with this project we were very excited and considered it as a great challenge. Check out what we've made and feel free to let us know what you think (note: commercial is Dutch spoken as Dibbadoo focuses on the Dutch market).
</p><iframe src=""//player.vimeo.com/video/116644367"" height=""337"" width=""600"" allowfullscreen="""" frameborder=""0"">
</iframe><p>
	<a title=""Dibbadoo Press Release"" href=""http://dibbadoo.pr.co/93594-dibbadoo-lanceert-eerste-tv-campagne"" target=""_blank"">Click here</a> to read the full press release about this campaign.
</p>",Dibbadoo-tv-commercial,"dibbadoo, tv commercial dibbadoo, dibbadoo reclame, dibbadoo commercial, prezi animation","One of our clients, Dibbadoo, launched their first TV commercial and we were responsible for the concept, design and animation of this commercial! "
"Icing on your cake",voice-is-icing-on-cake,2015-01-09,,Yes,live,#76b9d3,#ffffff,"<p>
	We're not the guys that refer to those good old days, but today is an exception. We want to take you back to the time when you didn't have Wi-Fi in your hotels and you were forced to watch whatever the TV was throwing at you. Being somewhere in France or Switzerland watching American films with French-voice overs, was entertaining. The example that springs to mind is Dances with Wolves. Kevin Costner speaking French, fluently of course, in a high-pitched voice is hilarious. We've seen the film in French dozens of times, but still don't get it.
</p><p>
	That teaches us a lesson, apart from the language barrier: The voice-over business is a risky business. A voice-over can make or break the message you want to put out there, and here's why.
</p><p>
	<b>1. Character</b>
</p><p>
	Choose the character of your voice wisely. What do you want your voice to represent? Is it authority, creativity, sensuality, a sense of mystery, energy?
	<br>
	Banks in general favor the elder white man with a deep voice, for a sense of authority. And the less authority they want to express, the younger the voice they choose. For the same reason supermarkets and retail chains favor the sort of chaotic housewife voice. That voice is an authority on spending household money wisely but has a touch of creativeness that women, and men, want to identify with.
</p><p>
	<b>2. Intonation</b>
</p><p>
	This usually goes wrong when a voice-actor does not know what he is trying to say. Putting emphasis on the wrong parts of your message can turn pretty nasty. The obvious mistake is a definition that is spoken as a question. Say goodbye to your authority. But we've seen worse. Sometimes what is told is the opposite of what is meant, just because of a way off intonation.
</p><p>
	<b>3. Timing is everything</b>
</p><p>
	This happens a lot if you work with pre-ordered voice-overs. It can be fixed, if you 're a kick ass editor with a talent for meddling with the spoken, but it is hard. If the energy of your visual message doesn't coincide with your audial message, people do take notice and forget what you were actually trying to say. So make sure that what is said, is said at the moment you want it to be said.
</p><p>
	<b>4. Conclusion</b>
</p><p>
	Was that it, is not how you want people to react after listening to your message. But this happens if your voice-over doesn't finish it off. It can be in the actual text, which is a completely different problem, but more often it is in the lack of energy shift in the last spoken sentence. We'll try to simplify our point, here. You want your voice-over to put some magic into the last sentence, so the audience will naturally understand it has come to an end. You can opt for building up extra energy or gradually slowing down. The how doesn't really matter, as long as it happens.
</p><p>
	But enough talking for now lets turn to a best case and a worst case. We've selected two great adventurous shorts, so you will enjoy the films even with a very poor voice-over.
</p><p>
	<b>Worst case</b>
</p><p>
	<b>Character:</b> not that bad, just lacking energy
</p><p>
	<b>Intonation:</b> non-existent
</p><p>
	<b>Timing:</b> not always spot on:
</p><p>
	<strong><b>Conclusi</b>on:</strong> which conclusion?
</p><iframe src=""//www.youtube.com/embed/Ba06NTdTM1o"" height=""315"" width=""560"" allowfullscreen="""" frameborder=""0"">
</iframe><p>
	<b>Best case</b>
</p><p>
	<b>Character: </b>Beautiful, mythical voice that suits the landscape
</p><p>
	<b>Intonation:</b> The voice leads you just like the waves do
</p><p>
	<b>Timing:</b> Its speeds up, slows down, it takes hold and never lets go
</p><p>
	<b>Conclusion:</b> It gradually slows down. So subtle, it is natural
</p><iframe src=""//player.vimeo.com/video/14074949"" width=""500"" height=""281"" frameborder=""0"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen="""">
</iframe><p>
	<a href=""http://vimeo.com/14074949"">DARK SIDE OF THE LENS</a> from <a href=""http://vimeo.com/astrayfilms"">Astray Films</a> on <a href=""https://vimeo.com/"">Vimeo</a>.
</p><p>
	Make your message heard with a voice that delivers!
</p><p>
	Respectfully yours,
</p><p>
	Mr.Prezident<br>
</p>",thevoice-mrprezident,"good voice-over, presentation tips, importance of voice-over","The voice-over business is a risky business. A voice-over can make or break the message you want to put out there. But what makes a voice-over good or bad? "
"Proud winners!",proud-winners,2015-01-07,,Yes,live,#62a4be,#ffffff,"<p>
	We are proud to announce that we've been awarded the <a href=""http://blog.prezi.com/latest/2015/1/5/the-best-prezis-of-2014"">Prezi Award for Best Overall Design</a> with our agriMORE Prezi. This is a fantastic reward for the hard work put in by our entire team.
</p><p>
	<i>""Creativity, hard work, and mastery of Prezi are all necessary ingredients when it comes to making the best prezi of the year. We are thrilled to name Agrimore by the designers at Mr. Prezident as the winner of this category."" </i>– Prezi
</p><p>
	agriMORE is an online platform that connects all the links in the fresh produce chains, from producer to consumer and vice versa. The challenge we faced was to visualize this and get their story across in a unique, but most of all clear way.
</p><p>
	We're in this business because we know just how strong the impact of a presentation can be when it's well-designed, tells a story, and when it reaches the hearts and minds of its audience. This award therefore is testament to our continuous efforts to create beautiful presentations that tell the tale and surpass the expectations of the audience.
</p><iframe src=""http://prezi.com/embed/-kosjanxgdev/?bgcolor=ffffff&amp;lock_to_path=0&amp;autoplay=0&amp;autohide_ctrls=0&amp;features=undefined&amp;token=undefined&amp;disabled_features=undefined"" width=""550"" height=""400"" frameborder=""0"" webkitallowfullscreen="""" mozallowfullscreen="""" allowfullscreen=""""></iframe>",Prezi-Awards-2014,"best prezi, best prezi 2014, prezi award, best prezi award, best prezi design, prezi design","We have won the Best Prezi Award 2014! We've been awarded the Prezi Award for Best Overall Design 2014 with our agriMORE Prezi. Check out the winning Prezi here"
"Don't be arrogant, be prepared",dont-be-arrogant-be-prepared,2014-12-02,,Yes,live,#76b9d3,#ffffff,"<p>
	Last week Dutch comedian Bianca Krijgsman won an International Emmy Award for best performance by an actress. As it was her drama debut and her competition was extremely talented, Bianca did not expect to win. She did, and she had to come forward to address the audience. Totally unprepared, she delivered. Her speech was celebrated as energetic, funny and original. Perfect, or not?
</p><p>
	<iframe src=""http://media.zie.nl/e/?v=1n8zum0f4dkr&amp;sanoma_poster_url=http%3A%2F%2Fmedia.zie.nl%2Fm%2F1n8zum0f4dkr_m.jpg"" height=""300"" width=""480"" allowfullscreen="""" style=""overflow: hidden !important;"">
	</iframe>
</p><p>
	<b>Only if unprepared<br>
	</b>Bianca walked on stage and pulled it off. But we have to take in account that she's an extremely talented comedian and that she's not afraid of making a fool of herself, and that helps when the world is watching you.
</p><p>
	In a night full of prewritten, uninspired thank-yous, Bianca's message was refreshing and energetic. Her enthusiasm and emotions were pure, contributing to the power of her talk. She had an important message to share, though. As the film was shot in an asylumseekercenter and the asylum seekers played as extras is the film, Bianca took a moment to express her hope, wishing that the extras will be given permanent residency status, so they can start rebuilding their lives. It was a wonderful message, straight from the heart, but it kind of faded away in her rattling and thinking of whom to thank.
</p><p>
	<b>Only if prepared<br>
	</b>If Bianca had prepared her speech, it would have lost some on-the-spot-originality, but being creative, she would have found ways to keep it original. The energy she took to the stage is hers, unprepared or prepared. Knowing whom to thank would have made her story coherent and less sloppy.
</p><p>
	These little things do point out that being prepared would have been better in her case, but let's turn to the single most important message in her speech; her hope for the asylum-seekers. It was, but it wasn't central in her story as it was just one of the things she listed. In a prewritten speech she would have been able to build up to this message and she would have been able to stress its importance. She could have expressed how the film changed the way she looked at the situation of asylum-seekers and she could have expressed her hope for the individuals she met while filming. Only if she had prepared her talk, people would remember the message, instead of '
	<i>Hi I'm Bianca from Holland. Woooooooow!.</i>
</p><p>
	<b>Duh!<br>
	</b>Our advice to you all is: Be prepared! Not really a life-changing lesson, right? We know, but let us rephrase: If you think you're talented, if you know exactly what you're talking about, if you think your charisma will do the trick, if you give pretty much the same speech on a regular basis, or if you are guilty of any other slightly arrogant reason not to prepare, remember, your single most important message will not remembered by your audience! Being hasty, looking for words, oh-yeah I forgot to mention, or any other minor slip-ups will downgrade the weight of your single most important message. And that's an opportunity wasted.
</p><p>
	So be prepared, always.
</p>",be-prepared-mrprezident,"prepare presentation, prepare prezi, prezi tips","If you think your charisma will do the trick and you give the same speech regularly, remember, you're still never too prepared! Why? We'll tell you why! "
"The missing link",the-missing-link,2014-10-16,,Yes,live,#62a4be,#ffffff,"<p>We're not discussing cro magnons and neanderthals today, sorry about that. It is just that there's a link missing on your LinkedIn page, and as were at it, the LinkedIn page of your company is missing out too. Do you care? You should.</p><p>LinkedIn is wonderful, and useful but rather textual as well. And exactly that turned into a creative challenge for us. As visual storytellers, Prezi-experts and presentation professionals, we explore all possibilities out there. Not just for the fun of it, but also because we want to know the strengths of all tools available to us. And as it turns out Prezi and LinkedIn turn out to be a pretty good combination if you're trying to tell a story.</p><p>Let's embroider on this. Imagine you're a recruiter and you're responsible for attracting young talent. You have used the company's LinkedIn site to its full potential, or at least so you think. In only 500 words you've told how talent can grow, working for the company. Now imagine a talent looking for a job, landing on your particular page. He or she reads about 70 words, loses interest and surfs on.</p><p>Instead of just scribbling, try incorporating a standout Prezi on LinkedIn. Your site will be way more attractive with the visuals breaking the texts. The talent that you're looking for can consume all the worthy information in full creativity, instead of reading every detail in a summary. In this way it's easier to communicate your message and your target group will enjoy it more. Plus plus so far. And we didn't even mention the fact that your target group is out there, already making use of LinkedIn as the way to move their careers forward.</p><p>Ok, we have probably convinced you already. So there's no need to mention that it's pretty easy to embed a Prezi on LinkedIn, or that it's commercially way more viable to build or update a standout Prezi instead of a standout short film. But what might be useful to know is, that when you change or update a Prezi that's already been published, the link doesn't change. That saves you emailing the 400 colleagues that have already shared it on their own personal pages. We have built many a Prezi for our talent searching clients. They're happy clients now as they've improved their success rate on LinkedIn.</p><p>Let's turn to you now. What if you're not a recruiter? It actually doesn't matter. We could have told this story in a million ways. Imagine you're a talent, looking for a job, just create a magical Prezi and share it. Imagine you're a creative, just build a mind-blowing Prezi on your portfolio and incorporate it on your LinkedIn. We could go on and on all day.</p><p>We wish you all the luck in the world in creating a wonderful Prezi and in improving on your LinkedIn success rate. And if you need some help creating a standout, magical or mind-blowing Prezi, we happen to know just the talented guys that can help you with that.</p><p>Respectfully yours,</p><p>Mr. Prezident</p><p>Ps We get that you would like to see an incorporated Prezi on LinkedIn. Just check ours <a href=""http://nl.linkedin.com/in/pcmbosschaart/"" target=""_blank"">HERE</a></p>",missing-link-mrprezident,"improve Linkedin page, Linkedin Prezi, Linkedin resume","There's a link missing on your LinkedIn page, and as were at it, the LinkedIn page of your company is missing out too. Do you care? You should! "
"Get the details right",get-details-right,2014-08-07,,Yes,live,#76b9d3,#ffffff,"<p>It is simply too easy to mess up a presentation. Every detail is a potential danger. All your efforts can be thwarted by a minor and very futile misstep. We have seen lots of details gone wrong over the years. It can be a beamer that doesn't work (should have checked it), or a slide that you forgot, a misspelled email address or phone number. It can be an unreadable font or it can be that you just did not prepare your presentation as you should have. Details can cost you dearly.</p><p>Details gone wrong can be funny (as our top 3 proves) and maybe you have the wit to correct your wrongs during your presentation. But we can only advise you to practice, practice and practice before you check, check and double check.</p><p><b>#3 The name game<br></b>We saw this misstep in a column in the economic section of a big Dutch national newspaper (de Volkskrant 31/06/2014). The writer, not exactly your new kid on the block, discusses the value of Google and Facebook. The new buy button that will side Facebook adds gives Facebook the advantage, for now, and Matt Zuckerberg will profit from it, according to the writer. Wait a minute. Did he just write <b>Matt</b> Zuckerberg? Yes he did. Oops!</p><p><b>#2 Online competition</b><br>With people spending less money on eating out, restaurants have to fight fiercely to survive. Competitors take this battle to the World Wide Web. We read a story about a restaurant that kept wondering why the crowds weren't coming on weekends anymore. Months passed by, until one customer asked why the restaurant was closed on the weekends. Weird question? Not really. It turned out a nearby competitor had stated on Google that this particular restaurant was closed during weekends, to draw the masses to his own place.</p><p>This is probably a criminal action, but it proves a point. In the public domain you're not always in control, so make sure you check information on you or your organization provided by other parties, from Google to the yellow pages and from blogs to news sites.</p><p><b>#1 Hang loose!<br></b>Summer is coming. Magazines and fashion labels want to sell cute dresses. To sell their items they show a lifestyle. A VW bus, a bright day, the sea and a beach make up the background. And of course a surfer accidentally walks by in the photo. It does seem very attractive, but something doesn't feel quite right.<br>In 80 out of a 100 beach ads that are to be found in these kinds of magazines, there are a couple of things missing. The surfer is carrying a board that has no fins and no leash and no wax. Oops!</p><p>Respectfully yours,</p><p>Mr. Prezident</p>",details-mrprezident,,"​It's simply too easy to mess up a presentation. We've seen lots of details gone wrong over the years so we've made a top 3 of the funniest detail-fails for you"
